RBC_V2.atomic.data

21702 atoms
3202 bonds

7 atom types
3 bond types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

1 2    0.002    0.009   25.009 
2 2    0.004    0.002  -24.990 
3 1    0.977    0.007   24.982 
4 1    0.491    0.845   24.982 
5 1   -0.475    0.846   24.985 
6 1   -0.965    0.004   24.983 
7 1   -0.482   -0.836   24.983 
8 1    0.485   -0.831   24.987 
9 1    1.942    0.002   24.930 
10 1    1.724    0.903   24.930 
11 1    1.102    1.597   24.926 
12 1    0.237    1.927   24.929 
13 1   -0.678    1.816   24.932 
14 1   -1.442    1.290   24.927 
15 1   -1.872    0.470   24.933 
16 1   -1.871   -0.457   24.925 
17 1   -1.442   -1.276   24.934 
18 1   -0.685   -1.805   24.927 
19 1    0.236   -1.918   24.929 
20 1    1.109   -1.593   24.933 
21 1    1.723   -0.897   24.934 
22 1    2.902    0.003   24.831 
23 1    2.749    0.946   24.834 
24 1    2.292    1.792   24.839 
25 1    1.589    2.433   24.839 
26 1    0.720    2.814   24.831 
27 1   -0.239    2.893   24.836 
28 1   -1.163    2.663   24.834 
29 1   -1.965    2.144   24.840 
30 1   -2.547    1.391   24.833 
31 1   -2.854    0.482   24.841 
32 1   -2.857   -0.477   24.840 
33 1   -2.547   -1.372   24.833 
34 1   -1.965   -2.126   24.831 
35 1   -1.161   -2.650   24.840 
36 1   -0.233   -2.883   24.835 
37 1    0.719   -2.806   24.834 
38 1    1.588   -2.428   24.838 
39 1    2.293   -1.778   24.835 
40 1    2.749   -0.936   24.840 
41 1    3.870    0.002   24.706 
42 1    3.749    0.967   24.708 
43 1    3.387    1.868   24.706 
44 1    2.825    2.653   24.703 
45 1    2.073    3.270   24.706 
46 1    1.198    3.675   24.706 
47 1    0.245    3.859   24.700 
48 1   -0.715    3.796   24.709 
49 1   -1.640    3.500   24.701 
50 1   -2.460    2.981   24.703 
51 1   -3.116    2.273   24.704 
52 1   -3.589    1.431   24.707 
53 1   -3.825    0.491   24.708 
54 1   -3.826   -0.475   24.705 
55 1   -3.584   -1.417   24.700 
56 1   -3.119   -2.262   24.706 
57 1   -2.460   -2.974   24.707 
58 1   -1.638   -3.494   24.706 
59 1   -0.720   -3.785   24.706 
60 1    0.244   -3.850   24.708 
61 1    1.194   -3.665   24.706 
62 1    2.076   -3.254   24.701 
63 1    2.822   -2.636   24.703 
64 1    3.392   -1.852   24.710 
65 1    3.744   -0.951   24.706 
66 2    4.826    0.006   24.540 
67 1    4.725    0.975   24.531 
68 1    4.430    1.904   24.537 
69 1    3.954    2.756   24.532 
70 1    3.327    3.495   24.533 
71 2    2.550    4.089   24.540 
72 1    1.675    4.521   24.539 
73 1    0.733    4.771   24.533 
74 1   -0.240    4.816   24.538 
75 1   -1.207    4.666   24.537 
76 2   -2.114    4.335   24.539 
77 1   -2.943    3.817   24.534 
78 1   -3.654    3.138   24.533 
79 1   -4.206    2.342   24.541 
80 1   -4.596    1.446   24.540 
81 2   -4.790    0.492   24.534 
82 1   -4.788   -0.480   24.540 
83 1   -4.587   -1.435   24.532 
84 1   -4.207   -2.331   24.536 
85 1   -3.646   -3.128   24.532 
86 1   -2.945   -3.804   24.534 
87 2   -2.117   -4.323   24.534 
88 1   -1.200   -4.664   24.534 
89 1   -0.236   -4.808   24.535 
90 1    0.734   -4.762   24.540 
91 1    1.678   -4.510   24.533 
92 2    2.557   -4.080   24.541 
93 1    3.324   -3.486   24.537 
94 1    3.960   -2.746   24.537 
95 1    4.428   -1.896   24.531 
96 1    4.721   -0.966   24.535 
97 1    5.768    0.001   24.326 
98 1    5.688    0.977   24.327 
99 1    5.441    1.925   24.335 
100 1    5.042    2.812   24.333 
101 1    4.495    3.630   24.336 
102 1    3.813    4.328   24.329 
103 1    3.028    4.919   24.335 
104 1    2.156    5.359   24.334 
105 1    1.224    5.644   24.327 
106 1    0.248    5.761   24.333 
107 1   -0.727    5.726   24.333 
108 1   -1.681    5.521   24.328 
109 1   -2.586    5.151   24.327 
110 1   -3.424    4.641   24.327 
111 1   -4.154    3.999   24.327 
112 1   -4.776    3.231   24.334 
113 1   -5.251    2.384   24.329 
114 1   -5.577    1.459   24.329 
115 1   -5.740    0.492   24.334 
116 1   -5.744   -0.487   24.326 
117 1   -5.571   -1.444   24.336 
118 1   -5.245   -2.365   24.326 
119 1   -4.769   -3.223   24.334 
120 1   -4.155   -3.981   24.334 
121 1   -3.419   -4.632   24.330 
122 1   -2.589   -5.148   24.328 
123 1   -1.682   -5.508   24.333 
124 1   -0.723   -5.713   24.332 
125 1    0.245   -5.757   24.334 
126 1    1.221   -5.634   24.330 
127 1    2.154   -5.345   24.327 
128 1    3.030   -4.907   24.326 
129 1    3.818   -4.320   24.335 
130 1    4.495   -3.621   24.328 
131 1    5.041   -2.806   24.332 
132 1    5.444   -1.912   24.336 
133 1    5.685   -0.968   24.331 
134 1    6.708    0.003   24.085 
135 1    6.635    0.985   24.091 
136 1    6.426    1.939   24.092 
137 1    6.076    2.849   24.092 
138 1    5.600    3.700   24.091 
139 1    4.993    4.483   24.085 
140 1    4.290    5.159   24.084 
141 1    3.495    5.723   24.089 
142 1    2.623    6.172   24.084 
143 1    1.704    6.489   24.085 
144 1    0.738    6.668   24.090 
145 1   -0.244    6.706   24.088 
146 1   -1.212    6.596   24.089 
147 1   -2.163    6.347   24.091 
148 1   -3.065    5.968   24.092 
149 1   -3.892    5.457   24.093 
150 1   -4.649    4.832   24.093 
151 1   -5.302    4.104   24.085 
152 1   -5.838    3.287   24.089 
153 1   -6.259    2.404   24.094 
154 1   -6.541    1.462   24.089 
