RBC_V2.atomic.data

8346 atoms

7 atom types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

1 2    0.006    0.005   25.003 
2 2    0.007    0.005  -24.995 
3 1    0.970    0.010   24.990 
4 1    0.493    0.847   24.986 
5 1   -0.477    0.844   24.987 
6 1   -0.960    0.004   24.984 
7 1   -0.479   -0.835   24.991 
8 1    0.492   -0.834   24.990 
9 1    1.945    0.000   24.928 
10 1    1.722    0.901   24.934 
11 1    1.101    1.594   24.925 
12 1    0.235    1.926   24.930 
13 1   -0.685    1.816   24.930 
14 1   -1.448    1.285   24.927 
15 1   -1.872    0.464   24.933 
16 1   -1.878   -0.457   24.930 
17 1   -1.441   -1.276   24.932 
18 1   -0.683   -1.810   24.933 
19 1    0.239   -1.920   24.927 
20 1    1.104   -1.588   24.926 
21 1    1.717   -0.900   24.934 
22 1    2.910    0.007   24.838 
23 1    2.755    0.950   24.837 
24 1    2.298    1.784   24.836 
25 1    1.593    2.438   24.838 
26 1    0.716    2.818   24.839 
27 1   -0.233    2.893   24.839 
28 1   -1.158    2.667   24.834 
29 1   -1.961    2.141   24.836 
30 1   -2.547    1.387   24.840 
31 1   -2.860    0.480   24.838 
32 1   -2.860   -0.473   24.835 
33 1   -2.548   -1.381   24.836 
34 1   -1.957   -2.134   24.835 
35 1   -1.165   -2.654   24.831 
36 1   -0.231   -2.888   24.839 
37 1    0.716   -2.812   24.833 
38 1    1.592   -2.422   24.836 
39 1    2.300   -1.774   24.839 
40 1    2.746   -0.940   24.831 
41 1    3.869    0.003   24.709 
42 1    3.748    0.970   24.707 
43 1    3.386    1.863   24.706 
44 1    2.818    2.653   24.705 
45 1    2.074    3.270   24.703 
46 1    1.194    3.682   24.702 
47 1    0.243    3.860   24.701 
48 1   -0.723    3.801   24.704 
49 1   -1.641    3.501   24.702 
50 1   -2.453    2.984   24.708 
51 1   -3.117    2.279   24.705 
52 1   -3.582    1.430   24.708 
53 1   -3.831    0.489   24.703 
54 1   -3.831   -0.483   24.708 
55 1   -3.585   -1.415   24.703 
56 1   -3.120   -2.262   24.707 
57 1   -2.455   -2.976   24.706 
58 1   -1.644   -3.485   24.706 
59 1   -0.717   -3.789   24.707 
60 1    0.249   -3.851   24.705 
61 1    1.196   -3.667   24.707 
62 1    2.078   -3.252   24.702 
63 1    2.817   -2.641   24.701 
64 1    3.385   -1.856   24.704 
65 1    3.743   -0.956   24.706 
66 2    4.827    0.008   24.535 
67 1    4.725    0.975   24.534 
68 1    4.436    1.907   24.540 
69 1    3.962    2.754   24.536 
70 1    3.328    3.493   24.540 
71 2    2.558    4.097   24.539 
72 1    1.675    4.521   24.534 
73 1    0.739    4.765   24.537 
74 1   -0.235    4.818   24.540 
75 1   -1.205    4.672   24.535 
76 2   -2.114    4.335   24.535 
77 1   -2.949    3.818   24.535 
78 1   -3.647    3.142   24.532 
79 1   -4.212    2.343   24.541 
80 1   -4.595    1.450   24.540 
81 1   -4.786    0.496   24.540 
82 2   -4.791   -0.481   24.538 
83 1   -4.596   -1.434   24.537 
84 1   -4.211   -2.332   24.535 
85 1   -3.650   -3.133   24.533 
86 1   -2.945   -3.807   24.532 
87 2   -2.120   -4.318   24.541 
88 1   -1.203   -4.656   24.539 
89 1   -0.240   -4.805   24.533 
90 1    0.735   -4.757   24.537 
91 1    1.677   -4.518   24.540 
92 2    2.549   -4.080   24.538 
93 1    3.319   -3.488   24.532 
94 1    3.955   -2.746   24.538 
95 1    4.430   -1.894   24.533 
96 1    4.722   -0.965   24.536 
97 1    5.769    0.003   24.336 
98 1    5.688    0.978   24.333 
99 1    5.439    1.924   24.327 
100 1    5.036    2.819   24.332 
101 1    4.493    3.625   24.329 
102 1    3.817    4.335   24.333 
103 1    3.030    4.919   24.330 
104 1    2.160    5.357   24.327 
105 1    1.224    5.638   24.332 
106 1    0.252    5.763   24.327 
107 1   -0.727    5.725   24.330 
108 1   -1.687    5.515   24.328 
109 1   -2.589    5.152   24.326 
110 1   -3.424    4.643   24.327 
111 1   -4.155    3.990   24.327 
112 1   -4.767    3.230   24.335 
113 1   -5.252    2.381   24.329 
114 1   -5.577    1.460   24.334 
115 1   -5.739    0.497   24.333 
116 1   -5.742   -0.484   24.329 
117 1   -5.574   -1.447   24.331 
118 1   -5.251   -2.371   24.329 
119 1   -4.773   -3.222   24.335 
120 1   -4.155   -3.989   24.327 
121 1   -3.422   -4.632   24.336 
122 1   -2.591   -5.140   24.330 
123 1   -1.685   -5.506   24.329 
124 1   -0.730   -5.712   24.335 
125 1    0.247   -5.751   24.328 
126 1    1.219   -5.635   24.335 
127 1    2.156   -5.343   24.327 
128 1    3.027   -4.903   24.333 
129 1    3.815   -4.322   24.332 
130 1    4.489   -3.612   24.330 
131 1    5.040   -2.806   24.333 
132 1    5.446   -1.911   24.336 
133 1    5.691   -0.974   24.328 
134 1    6.711    0.002   24.086 
135 1    6.641    0.977   24.089 
136 1    6.426    1.936   24.089 
137 1    6.073    2.848   24.085 
